Abbreviation,Name,Reaction,GPR,Genes,Protein,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence score,E.C. number,Notes,References
PMDPHT,pyrimidine phosphatase,[c] : h2o + 5aprbu => pi + h + 4r5au,,,,Riboflavin Metabolism,0,,,0,0,3.1.3.-,,
DB4PS,"3,4-Dihydroxy-2-butanone 4-phosphate synthase",[c] : ru5p-D => for + h + db4p,RibAB (A0427) ,A0427,RibAB,Cofactor and Prosthetic Group Biosynthesis,0,,,0,2,4.1.99.12,,
rxn05063,carbamate hydro-lyase,[c] : h2o + cynt <=> Carbamate,,A0643|A0863,,,1,,,0,2,4.2.1.104,,
rxn05064,carbamate hydro-lyase,[c] : 2 h + Carbamate <=> co2 + nh4,,A0643|A0863,,,1,,,0,2,4.2.1.104,,
rxn05092,"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase",[c] : o2 + 12d3k5m => for + h + 2kmb,,A0553,,,0,,,0,2,1.13.11.54,,
rxn05104,S-Methyl-5-thio-D-ribulose-1-phosphate hydro-lyase,[c] : 5mdru1p => h2o + dkmpp,,A0554,,,0,,,0,2,4.2.1.109,,
rxn05105,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase",[c] : dkmpp => h + 2h3k5m,,A0552,,,0,,,0,2,3.1.3.77,,
rxn05106,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phophatase,[c] : h2o + 2h3k5m => pi + h + 12d3k5m,,A0552,,,0,,,0,2,3.1.3.77, ,
rxn05116,rxn05116,[c] : h + amopbut-L <=> co2 + 1-AMINO-PROPAN-2-ONE-3-PHOSPHATE,,,,,1,,,0,2,,,
rxn05144,rxn05144,[c] : gln-L + g3p + ru5p-D <=> 3 h2o + pi + pydx5p + glu-L + 2 h,,,,,1,,,0,1,,,
PIabc,Orthophosphate-ABC transport,h2o[c] + atp[c] + pi[e] => adp[c] + 2 pi[c] + h[c],PstS (A1364) ,A1364,PstS,Transport,0,,,0,2,TC-3.A.1.7|3.A.1.7,,
Mnabc,Manganese-ABC transport,h2o[c] + atp[c] + mn2[e] => adp[c] + pi[c] + mn2[c] + h[c],MntB ( A1648 and A1734 and G0086 ) ,A1648  and  A1734  and  G0086,MntB,,0,,,0,2,3.A.1.15,,
rxn05150,Zinc-ABC transport,h2o[c] + atp[c] + zn2[e] => adp[c] + pi[c] + zn2[c] + h[c],,A2501|A2499|A2500,,,0,,,0,2,TC-3.A.1.15|3.A.1.15,,
SO4abc,Sulfate-ABC transport,h2o[c] + atp[c] + so4[e] => adp[c] + pi[c] + so4[c] + h[c],CysAP (A0799)  and CysP (A0795)  and CysT (A0797)  and CysW (A0798),A0799  and  A0795  and  A0797  and  A0798,CysAP and CysP and CysT and CysW,,0,,,0,2,,,
rxn05158,sn-Glycerol ABC transport,h2o[c] + atp[c] + glyc3p[e] => adp[c] + pi[c] + h[c] + glyc3p[c],,,,,0,,,0,2,,,
LEUabc,L-Leucine-ABC transport,h2o[c] + atp[c] + leu-L[e] => adp[c] + pi[c] + h[c] + leu-L[c],NatA (A1436)  and NatB (A2201)  and NatC (A2091)  and NatD (A2566),A1436  and  A2201  and  A2091  and  A2566,NatA and NatB and NatC and NatD,"Transport, Extracellular",0,,,0,2,,,
Coabc,Cobalt-ABC transport,h2o[c] + atp[c] + cobalt2[e] => adp[c] + pi[c] + h[c] + cobalt2[c],CbiMNQO2 (A0154) ,A0154,CbiMNQO2,Transport,0,,,0,1,,,
Niabc,Nickel-ABC transport,h2o[c] + atp[c] + nickel2[e] => adp[c] + pi[c] + h[c] + nickel2[c],,A1054|A2149|A2729,,,0,,,0,1,,,
VALabc,L-Valine-ABC transport,h2o[c] + atp[c] + val-L[e] => adp[c] + pi[c] + h[c] + val-L[c],( NatA (A1436)  and NatB (A2201)  and NatC (A2091)  and NatD (A2566)  ),( A1436  and  A2201  and  A2091  and  A2566 ),( NatA and NatB and NatC and NatD ),"Transport, Extracellular",0,,,0,2,,,
SPEabc,Spermidine-ABC transport,h2o[c] + atp[c] + spmd[e] => adp[c] + pi[c] + h[c] + spmd[c],,,,,0,,,0,1,,,
THIabc,Thiosulfate-ABC transport,h2o[c] + atp[c] + tsul[e] => adp[c] + pi[c] + h[c] + tsul[c],,,,,0,,,0,2,,,
ILEabc,L-Isoleucine-ABC transport,h2o[c] + atp[c] + ile-L[e] => adp[c] + pi[c] + h[c] + ile-L[c],NatA (A1436)  and NatB (A2201)  and NatC (A2091)  and NatD (A2566)  ,A1436  and  A2201  and  A2091  and  A2566,NatA and NatB and NatC and NatD,,0,,,0,2,,,
METabc,D-Methionine-ABC transport,h2o[c] + atp[c] + met-D[e] => adp[c] + pi[c] + h[c] + met-D[c],,,,,0,,,0,2,,,
VITabc,Vitamin ABC transport,h2o[c] + atp[c] + Vitamin B12[e] => adp[c] + pi[c] + h[c] + Vitamin B12[c],,,,,0,,,0,2,,,
rxn05189,Fe(III)dicitrate-ABC transport,h2o[c] + atp[c] + fe3dcit[e] => adp[c] + pi[c] + h[c] + fe3dcit[c],,,,,0,,,0,2,,,
rxn05195,Fe3+-ABC transport,h2o[c] + atp[c] + fe3[e] => adp[c] + pi[c] + h[c] + fe3[c],,,,,0,,,0,2,,,
Kt2i,potassium irreversible transport via proton symporter,k[e] + h[e] => k[c] + h[c],YkqB (A2267) ,A2267,YkqB,Transport,0,,,0,2,1.A.1,,
NAt3,Proton sodium antiport,h[e] + na1[c] => h[c] + na1[e],YhaU (A0577)  ) or ( YjbQ (A0283)  ) or ( ApNhaP (A2297)  ) or ( NhaC2 (A0227)  ) or ( Nhx2 (A1003)  ) or ( NapA2 (A2372) ,A0577  or  A0283  or  A2297  or  A0227  or  A1003  or  A2372,( YhaU ) or ( YjbQ ) or ( ApNhaP ) or ( NhaC2 ) or ( Nhx2 ) or ( NapA2 ),Transport,0,,,0,2,,,
rxn05219,L-Methionine ABC transport,h2o[c] + atp[c] + met-L[e] => adp[c] + pi[c] + met-L[c] + h[c],,,,,0,,,0,2,,,
rxn05223,Biotin ABC transporter,h2o[c] + atp[c] + btn[e] => adp[c] + pi[c] + h[c] + btn[c],,,,,0,,,0,2,,,
AIRC1,NCAIR synthetase and NCAIR mutase,[c] : atp + hco3 + air => adp + pi + h + 5aizc,( PurE (A2826)  and PurK (A0606)  ),( A2826  and  A0606 ),( PurE and PurK ),Nucleotides and nucleic acids,0,,,0,2,,,
rxn05231,Ribonucleotide reductase: ADP,[c] : adp + trdrd => h2o + dadp + trdox,,,,,0,,,0,2,1.17.4.1,,
rxn05233,Ribonucleotide reductase: GDP,[c] : gdp + trdrd => h2o + dgdp + trdox,,,,,0,,,0,2,1.17.4.1,,
PAPSR,"adenosine 3',5'-bisphosphate,sulfite:oxidized-thioredoxin oxidoreductase",[c] : paps + trdrd => pap + so3 + trdox,CysH (A1497) ,A1497,CysH,Sulfur Metabolism,0,,,0,2,1.8.4.8,,
rxn05247,FACOAL140(ISO),[c] : atp + coa + h + fa1 <=> ppi + amp + fa1coa,,A0675,,,1,,,0,2,6.2.1.3,,
rxn05248,FACOAL150(anteiso),[c] : atp + coa + h + fa4 <=> ppi + amp + fa4coa,,A0675,,,1,,,0,2,6.2.1.3,,
rxn05249,FACOAL150(ISO),[c] : atp + coa + h + fa3 <=> ppi + amp + fa3coa,,A0675,,,1,,,0,2,6.2.1.3,,
rxn05250,FACOAL160(ISO),[c] : atp + coa + h + fa6 <=> ppi + amp + fa6coa,,A0675,,,1,,,0,2,6.2.1.3,,
rxn05251,FACOAL170(anteiso),[c] : atp + coa + h + fa12 <=> ppi + amp + fa12coa,,A0675,,,1,,,0,2,6.2.1.3,,
rxn05252,FACOAL170(ISO),[c] : atp + coa + h + fa11 <=> ppi + amp + fa11coa,,A0675,,,1,,,0,2,6.2.1.3,,
rxn05256,APSPTi,[c] : amp + so3 + trdox => aps + trdrd ,,,,,0,,,0,2,1.8.4.10,,
rxn05287,GGTT,[c] : ipdp + ggdp <=> ppi + pendp,,,,,1,,,0,2,,,
TRDR,thioredoxin reductase (NADPH),[c] : nadph + h + trdox => nadp + trdrd,,,,,0,,,0,2,1.8.1.9|1.6.4.5,,
MECDPDH,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",[c] : nadh + h + 2mecdp => h2o + nad + h2mb4p,IspG (A0743) ,A0743,IspG,Terpenoid Backbone Biosynthesis,0,,,0,2,1.17.7.1,,
rxn05319,H2Ot5,h2o[e] <=> h2o[c],,,,,1,,,0,2,,,
rxn05322,Butyryl-[acyl-carrier protein]:malonyl-CoA,[c] : nadh + h + 2beACP => nad + butACP,,,,,0,,,0,2,1.3.1.9|2.3.1.86,,
rxn05323,Tetradecanoyl-[acyl-carrier protein]:malonyl-CoA,[c] : nadh + h + tmrs2eACP => nad + myrsACP,,,,,0,,,0,2,1.3.1.9|2.3.1.86,,
rxn05324,Dodecanoyl-[acyl-carrier protein]:malonyl-CoA,[c] : nadh + h + 2tddACP => nad + ddcaACP,,,,,0,,,0,2,1.3.1.9|2.3.1.86,,
rxn05325,Octanoyl-[acyl-carrier protein]:malonyl-CoA,[c] : nadh + h + 2toceACP => nad + octACP,,,,,0,,,0,2,1.3.1.9|2.3.1.86,,
rxn05326,Hexanoyl-[acyl-carrier protein]:malonyl-CoA,[c] : nadh + h + 2theACP => nad + hexACP ,,,,,0,,,0,2,1.3.1.9|2.3.1.86,,
rxn05327,Decanoyl-[acyl-carrier protein]:malonyl-CoA,[c] : nadh + h + 2tdeACP => nad + decACP,,,,,0,,,0,2,1.3.1.9|2.3.1.86,,
rxn05328,Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA,[c] : nadh + h + tpalm2eACP => nad + hedacp,,,,,0,,,0,2,1.3.1.9|2.3.1.86,,
rxn05329,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,[c] : 3hbACP => h2o + 2beACP,,,,,0,,,0,2,4.2.1.58,,
rxn05330,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,[c] : 3hhACP => h2o + 2theACP,,,,,0,,,0,2,2.3.1.85|2.3.1.86|4.2.1.58,,
rxn05331,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,[c] : 3hddACP => h2o + 2tddACP,,,,,0,,,0,2,2.3.1.85|2.3.1.86|4.2.1.58|4.2.1.60|4.2.1.61,,
rxn05332,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase,[c] : 3hpaACP => h2o + tpalm2eACP,,,,,0,,,0,2,2.3.1.85|2.3.1.86|4.2.1.61,,
rxn05333,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,[c] : 3hdeACP => h2o + 2tdeACP,,,,,0,,,0,2,2.3.1.85|2.3.1.86|4.2.1.58|4.2.1.60|4.2.1.61,,
rxn05334,(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase,[c] : 3hocACP => h2o + 2toceACP,,,,,0,,,0,2,2.3.1.85|2.3.1.86|4.2.1.58|4.2.1.59|4.2.1.61,,
rxn05335,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase,[c] : 3htdACP => h2o + tmrs2eACP,,,,,0,,,0,2,2.3.1.85|2.3.1.86|4.2.1.61,,
rxn05336,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,[c] : nadph + h + 3oxhdACP => nadp + 3hpaACP,,,,,0,,,0,2,1.1.1.100|2.3.1.85|2.3.1.86,,
rxn05337,(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,[c] : nadph + h + 3oxhACP => nadp + 3hhACP,,,,,0,,,0,2,1.1.1.100|2.3.1.85|2.3.1.86,,
rxn05338,(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,[c] : nadph + h + 3oxdeACP => nadp + 3hdeACP,,,,,0,,,0,2,1.1.1.100|2.3.1.85|2.3.1.86,,
rxn05339,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase,[c] : nadph + h + actACP => nadp + 3hbACP,,,,,0,,,0,2,1.1.1.100|2.3.1.85|2.3.1.86,,
rxn05340,(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,[c] : nadph + h + 3oxddACP => nadp + 3hddACP,,,,,0,,,0,2,1.1.1.100|2.3.1.85|2.3.1.86,,
rxn05341,(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,[c] : nadph + h + 3oxocACP => nadp + 3hocACP ,,,,,0,,,0,2,1.1.1.100|2.3.1.85|2.3.1.86,,
rxn05342,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+,[c] : nadph + h + 3oxtdACP => nadp + 3htdACP,,,,,0,,,0,2,1.1.1.100|2.3.1.85|2.3.1.86,,
rxn05343,Octanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein],[c] : h + octACP + malACP => co2 + 3oxdeACP + ACP,,,,,0,,,0,2,2.3.1.41|2.3.1.85|2.3.1.86|2.3.1.179|2.3.1.180,,
rxn05344,Tetradecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein],[c] : h + myrsACP + malACP => co2 + 3oxhdACP + ACP,,,,,0,,,0,2,2.3.1.41|2.3.1.85|2.3.1.86|2.3.1.179|2.3.1.180,,
rxn05345,dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein],[c] : h + ddcaACP + malACP => co2 + 3oxtdACP + ACP,,,,,0,,,0,2,2.3.1.41|2.3.1.85|2.3.1.86|2.3.1.179|2.3.1.180,,
rxn05346,butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein],[c] : h + butACP + malACP => co2 + 3oxhACP + ACP,,,,,0,,,0,2,2.3.1.41|2.3.1.85|2.3.1.86|2.3.1.179|2.3.1.180,,
rxn05347,Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein],[c] : h + malACP + acACP => co2 + actACP + ACP,,,,,0,,,0,2,2.3.1.41|2.3.1.85|2.3.1.86|2.3.1.179|2.3.1.180,,
rxn05348,Decanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein],[c] : h + decACP + malACP => co2 + 3oxddACP + ACP,,,,,0,,,0,2,2.3.1.41|2.3.1.85|2.3.1.86|2.3.1.179|2.3.1.180,,
rxn05349,acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase,[c] : accoa + ACP => coa + acACP,A0525(FabH),A0525,FabH,Fatty Acid Synthesis,0,,,0,2,2.3.1.38|2.3.1.41|2.3.1.85|2.3.1.86|2.3.1.179|2.3.1.180,,
rxn05350,hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein],[c] : h + hexACP + malACP => co2 + 3oxocACP + ACP,,,,,0,,,0,2,2.3.1.41|2.3.1.85|2.3.1.86|2.3.1.179|2.3.1.180,,
rxn05358,2-methylbutanoyl-CoA:[acyl-carrier-protein] transferase,[c] : 2mbcoa + ACP <=> coa + cbs_99,,,,,1,,,0,2,2.3.1.0,,
rxn05359,4-methyl-3-oxo-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + cbs_99 <=> co2 + ACP + 4-methyl-3-oxo-hexanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05360,4-methyl-3-oxo-hexanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 4-methyl-3-oxo-hexanoyl-ACP <=> nadp + 4-methyl-3-hydroxy-hexanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05361,4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,[c] : 4-methyl-3-hydroxy-hexanoyl-ACP <=> h2o + 4-methyl-trans-hex-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05363,4-methyl-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 4-methyl-hexanoyl-ACP <=> co2 + ACP + 6-methyl-3-oxo-octanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05364,6-methyl-3-oxo-octanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 6-methyl-3-oxo-octanoyl-ACP <=> nadp + 6-methyl-3-hydroxy-octanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05365,6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,[c] : 6-methyl-3-hydroxy-octanoyl-ACP <=> h2o + 6-methyl-trans-oct-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05367,6-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 6-methyl-octanoyl-ACP <=> co2 + ACP + 8-methyl-3-oxo-decanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05368,8-methyl-3-oxo-decanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 8-methyl-3-oxo-decanoyl-ACP <=> nadp + 8-methyl-3-hydroxy-decanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05369,8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,[c] : 8-methyl-3-hydroxy-decanoyl-ACP <=> h2o + 8-methyl-trans-dec-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05371,8-methyl-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 8-methyl-decanoyl-ACP <=> co2 + ACP + 10-methyl-3-oxo-dodecanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05372,10-methyl-3-oxo-dodecanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 10-methyl-3-oxo-dodecanoyl-ACP <=> nadp + 10-methyl-3-hydroxy-dodecanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05373,10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,[c] : 10-methyl-3-hydroxy-dodecanoyl-ACP <=> h2o + 10-methyl-trans-dodec-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05375,10-methyl-dodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 10-methyl-dodecanoyl-ACP <=> co2 + ACP + 12-methyl-3-oxo-tetra-decanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05376,12-methyl-3-oxo-tetra-decanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 12-methyl-3-oxo-tetra-decanoyl-ACP <=> nadp + 12-methyl-3-hydroxy-tetra-decanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05377,12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,[c] : 12-methyl-3-hydroxy-tetra-decanoyl-ACP <=> h2o + 12-methyl-trans-tetra-dec-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05379,12-methyl-tetra-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 12-methyl-tetra-decanoyl-ACP <=> co2 + ACP + 14-methyl-3-oxo-hexa-decanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05380,14-methyl-3-oxo-hexa-decanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 14-methyl-3-oxo-hexa-decanoyl-ACP <=> nadp + 14-methyl-3-hydroxy-hexa-decanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05381,14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,[c] : 14-methyl-3-hydroxy-hexa-decanoyl-ACP <=> h2o + 14-methyl-trans-hexa-dec-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05383,3-methylbutanoyl-CoA:[acyl-carrier-protein] transferase,[c] : ivcoa + ACP <=> coa + cbs_378,,,,,1,,,0,2,2.3.1.0,,
rxn05384,3-methylbutanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + cbs_378 <=> co2 + ACP + 5-methyl-3-oxo-hexanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05385,5-methyl-3-oxo-hexanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 5-methyl-3-oxo-hexanoyl-ACP <=> nadp + 5-methyl-3-hydroxy-hexanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05386,5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,[c] : 5-methyl-3-hydroxy-hexanoyl-ACP <=> h2o + 5-methyl-trans-hex-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05388,5-methyl-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 5-methyl-hexanoyl-ACP <=> co2 + ACP + 7-methyl-3-oxo-octanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05389,7-methyl-3-oxo-octanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 7-methyl-3-oxo-octanoyl-ACP <=> nadp + 7-methyl-3-hydroxy-octanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05390,7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,[c] : 7-methyl-3-hydroxy-octanoyl-ACP <=> h2o + 7-methyl-trans-oct-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05392,7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 7-methyl-octanoyl-ACP <=> co2 + ACP + 9-methyl-3-oxo-decanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05393,9-methyl-3-oxo-decanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 9-methyl-3-oxo-decanoyl-ACP <=> nadp + 9-methyl-3-hydroxy-decanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05394,9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,[c] : 9-methyl-3-hydroxy-decanoyl-ACP <=> h2o + 9-methyl-trans-dec-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05396,9-methyl-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 9-methyl-decanoyl-ACP <=> co2 + ACP + 11-methyl-3-oxo-dodecanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05397,11-methyl-3-oxo-dodecanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 11-methyl-3-oxo-dodecanoyl-ACP <=> nadp + 11-methyl-3-hydroxy-dodecanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05398,11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,[c] : 11-methyl-3-hydroxy-dodecanoyl-ACP <=> h2o + 11-methyl-trans-dodec-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05400,11-methyl-dodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 11-methyl-dodecanoyl-ACP <=> co2 + ACP + 13-methyl-3-oxo-tetra-decanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05401,13-methyl-3-oxo-tetra-decanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 13-methyl-3-oxo-tetra-decanoyl-ACP <=> nadp + 13-methyl-3-hydroxy-tetra-decanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05402,13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,[c] : 13-methyl-3-hydroxy-tetra-decanoyl-ACP <=> h2o + 13-methyl-trans-tetra-dec-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05404,13-methyl-tetra-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 13-methyl-tetra-decanoyl-ACP <=> co2 + ACP + 15-methyl-3-oxo-hexa-decanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05405,15-methyl-3-oxo-hexa-decanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 15-methyl-3-oxo-hexa-decanoyl-ACP <=> nadp + 15-methyl-3-hydroxy-hexa-decanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05406,15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,[c] : 15-methyl-3-hydroxy-hexa-decanoyl-ACP <=> h2o + 15-methyl-trans-hexa-dec-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05408,2-methylpropionyl-CoA:[acyl-carrier-protein] transferase,[c] : ibcoa + ACP <=> coa + cbs_374,,,,,1,,,0,2,2.3.1.0,,
rxn05409,2-methylpropionyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + cbs_374 <=> co2 + ACP + 4-methyl-3-oxo-pentanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05410,4-methyl-3-oxo-pentanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 4-methyl-3-oxo-pentanoyl-ACP <=> nadp + 4-methyl-3-hydroxy-pentanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05411,4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase,[c] : 4-methyl-3-hydroxy-pentanoyl-ACP <=> h2o + 4-methyl-trans-pent-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05413,4-methyl-pentanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 4-methyl-pentanoyl-ACP <=> co2 + ACP + 6-methyl-3-oxo-heptanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05414,6-methyl-3-oxo-heptanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 6-methyl-3-oxo-heptanoyl-ACP <=> nadp + 6-methyl-3-hydroxy-heptanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05415,6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase,[c] : 6-methyl-3-hydroxy-heptanoyl-ACP <=> h2o + 6-methyl-trans-hept-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05417,6-methyl-heptanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 6-methyl-heptanoyl-ACP <=> co2 + ACP + 8-methyl-3-oxo-nonanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05418,8-methyl-3-oxo-nonanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 8-methyl-3-oxo-nonanoyl-ACP <=> nadp + 8-methyl-3-hydroxy-nonanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
rxn05419,8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase,[c] : 8-methyl-3-hydroxy-nonanoyl-ACP <=> h2o + 8-methyl-trans-non-2-enoyl-ACP,,,,,1,,,0,2,4.2.1.0,,
rxn05421,8-methyl-nonanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),[c] : h + malACP + 8-methyl-nonanoyl-ACP <=> co2 + ACP + 10-methyl-3-oxo-undecanoyl-ACP,,,,,1,,,0,2,2.3.1.0,,
rxn05422,10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase,[c] : nadph + h + 10-methyl-3-oxo-undecanoyl-ACP <=> nadp + 10-methyl-3-hydroxy-undecanoyl-ACP,,,,,1,,,0,2,1.1.1.0,,
